Date,Open,High,Low,Close,Adj Close,Volume
10/22/2018,115.57,115.779999,115.43,115.709999,115.709999,5200500
10/23/2018,117.160004,117.25,116.330002,116.389999,116.389999,12704200
10/24/2018,116.379997,116.720001,116.110001,116.660004,116.660004,8563300
10/25/2018,116.580002,116.730003,116.190002,116.400002,116.400002,8303500
10/26/2018,116.830002,117.650002,116.459999,116.769997,116.769997,15733100
10/29/2018,116.410004,116.540001,115.839996,116.309998,116.309998,8732500
10/30/2018,115.849998,116.040001,115.639999,115.800003,115.800003,7233300
10/31/2018,114.889999,115.169998,114.660004,115.150002,115.150002,11409300
11/1/2018,116.330002,117.07,116.18,116.629997,116.629997,13662900
11/2/2018,116.610001,116.980003,116.389999,116.650002,116.650002,8796900
11/5/2018,116.279999,116.669998,116.230003,116.370003,116.370003,6291500
11/6/2018,116.440002,116.529999,115.739998,116.040001,116.040001,7270800
11/7/2018,116.260002,116.349998,115.900002,116.029999,116.029999,8392100
11/8/2018,115.769997,116.150002,115.5,115.779999,115.779999,7638800
11/9/2018,114.599998,114.75,114.139999,114.480003,114.480003,14159200
11/12/2018,114.010002,114.050003,113.580002,113.660004,113.660004,7498600
11/13/2018,113.720001,113.93,113.419998,113.699997,113.699997,9309000
11/14/2018,113.529999,115.059998,113.459999,114.639999,114.639999,13950200
11/15/2018,114.830002,114.989998,114.559998,114.769997,114.769997,8910600
11/16/2018,115.830002,115.879997,115.370003,115.620003,115.620003,8577000
11/19/2018,115.449997,115.919998,115.370003,115.669998,115.669998,8508300
11/20/2018,115.940002,115.949997,115.370003,115.669998,115.669998,9075100
11/21/2018,115.940002,116.349998,115.860001,115.860001,115.860001,8834200
11/23/2018,115.760002,115.879997,115.589996,115.769997,115.769997,3726600
11/26/2018,115.839996,115.870003,115.529999,115.639999,115.639999,4018600
11/27/2018,115.550003,115.629997,114.599998,114.949997,114.949997,9671100
11/28/2018,114.760002,116.07,114.589996,115.379997,115.379997,13788800
11/29/2018,115.970001,116.239998,115.559998,115.739998,115.739998,6479300
11/30/2018,115.419998,115.660004,115.040001,115.540001,115.540001,8169600
