Date,Open,High,Low,Close,Adj Close,Volume
10/22/2018,129.580002,130.440002,128.399994,130.020004,123.95594,5719500
10/23/2018,129.020004,131.899994,128.410004,131.210007,125.090446,6463600
10/24/2018,131.169998,131.690002,127,127.209999,121.277,5710300
10/25/2018,127.25,127.790001,125.139999,126.449997,120.552444,10304300
10/26/2018,125.209999,125.779999,123.709999,124.790001,118.969864,8767000
10/29/2018,119.339996,123.949997,118.300003,119.639999,114.060059,20450400
10/30/2018,120.480003,121.5,115.150002,115.400002,110.017807,21458600
10/31/2018,116.489998,116.5,114.089996,115.43,110.04641,21645000
11/1/2018,115.5,117,115.110001,116.830002,111.381119,13626700
11/2/2018,117.510002,117.75,114.540001,115.669998,110.275215,10592700
11/5/2018,116.099998,120.769997,116,120.059998,114.460464,9144600
11/6/2018,120.699997,123.809998,120.309998,123.120003,117.377762,9597400
11/7/2018,123.790001,125.059998,122.330002,124.839996,119.017525,12382700
11/8/2018,122.660004,124.400002,122.629997,123.379997,119.123734,10396400
11/9/2018,123.610001,124.57,121.959999,123.540001,119.278229,6961800
11/12/2018,123.5,123.57,120.650002,120.900002,116.729294,5379100
11/13/2018,121.190002,122.25,119.900002,120.839996,116.671356,4084400
11/14/2018,121.110001,121.93,119.769997,120.199997,116.053444,4762300
11/15/2018,119.660004,121.440002,119.510002,121.440002,117.250671,5207900
11/16/2018,120.889999,121.849998,120.540001,121.57,117.376175,4076300
11/19/2018,121.629997,122.18,119.769997,120.309998,116.159645,4131200
11/20/2018,118.489998,119.489998,116.699997,117.199997,113.156929,6233800
11/21/2018,117.610001,119.510002,117.389999,118.57,114.479668,5335800
11/23/2018,118.089996,118.339996,116.910004,117.190002,113.147278,2334700
11/26/2018,118.370003,120.25,118.059998,119.559998,115.435516,5011100
11/27/2018,118.379997,120.040001,118.370003,120.029999,115.889297,4903800
11/28/2018,121.010002,123.089996,120.220001,123,118.756851,5104500
11/29/2018,122.440002,123.120003,121.400002,121.480003,117.289284,5200100
11/30/2018,121.660004,124.690002,121.480003,124.269997,119.983032,7251600
12/3/2018,125.669998,126.589996,124.360001,125.309998,120.98716,5846400
12/4/2018,124.489998,124.919998,121.330002,121.599998,117.405136,6000700
12/6/2018,119.720001,123.910004,119.300003,123.910004,119.63546,6938000
12/7/2018,123.900002,124.050003,118.870003,119.339996,115.223106,7019600
12/10/2018,119.739998,121.68,118.519997,121.129997,116.951355,6549500
12/11/2018,123.25,123.809998,120,120.889999,116.719635,5043100
12/12/2018,122.510002,122.879997,121,121.160004,116.980324,3560500
12/13/2018,121.260002,121.790001,120.169998,120.730003,116.56517,3993600
12/14/2018,119.5,121.110001,119.440002,119.900002,115.763786,4554200
12/17/2018,119.07,119.779999,115.07,116.099998,112.094879,7374500
12/18/2018,116.900002,118.230003,116.019997,116.650002,112.625908,6290200
12/19/2018,117.150002,120.269997,115.970001,116.43,112.413498,6979800
12/20/2018,115.699997,116.449997,111.699997,113.019997,109.121124,8454400
12/21/2018,112.5,115.279999,110.440002,110.940002,107.112885,10386500
12/24/2018,109.900002,111,107.5,107.57,103.859131,3821400
12/26/2018,108,111.389999,105.940002,111.389999,107.547356,6645800
12/27/2018,109.989998,113.779999,109.470001,113.779999,109.854912,6045600
12/28/2018,114.220001,114.800003,112.5,113.029999,109.130783,5117500
12/31/2018,113.330002,114.349998,112.419998,113.669998,109.748711,4982800
1/2/2019,112.010002,115.980003,111.690002,115.209999,111.235573,4239900
1/3/2019,114.529999,114.879997,112.690002,112.910004,109.014923,4346700
1/4/2019,114.910004,117.489998,114.440002,117.32,113.272789,4477800
1/7/2019,117.5,118.830002,116.669998,118.150002,114.074165,3751200
1/8/2019,119.660004,120.57,118.980003,119.830002,115.696205,4763600
1/9/2019,120.910004,121.400002,119.870003,120.690002,116.526535,3633700
1/10/2019,120.080002,121.860001,119.949997,121.790001,117.588585,3910000
1/11/2019,121.580002,121.620003,120.199997,121.459999,117.269974,3722400
1/14/2019,120.510002,120.650002,119.760002,120.389999,116.236893,5228700
1/15/2019,120.959999,121.93,120.82,121.730003,117.53067,3507500
1/16/2019,121.580002,122,120.830002,121.620003,117.424461,3841100
1/17/2019,120.559998,122.410004,120.550003,122.190002,117.9748,5029900
1/18/2019,123.269997,124.720001,122.709999,123.82,119.548561,6008500
1/22/2019,123.300003,123.800003,121.540001,122.519997,118.293404,10052400
1/23/2019,131.369995,135,130.309998,132.889999,128.305664,22063700
1/24/2019,132.630005,133.210007,131.429993,132.529999,127.958092,6322900
1/25/2019,132.869995,134.440002,132.429993,133.970001,129.348419,5707400
1/28/2019,133.100006,134.809998,132.580002,134.270004,129.638077,5357700
1/29/2019,134.289993,135.410004,133.600006,134.330002,129.695984,5037100
1/30/2019,134,135.029999,133.25,134.380005,129.744263,4500900
1/31/2019,134.449997,134.720001,133.740005,134.419998,129.782883,4884000
2/1/2019,134.970001,135.199997,133.350006,134.100006,129.473938,3806000
2/4/2019,134.020004,135.199997,132.990005,135.190002,130.526321,3966600
2/5/2019,135.279999,135.820007,134.919998,135.550003,130.873917,5398900
2/6/2019,135.220001,136.649994,135.169998,136.320007,131.617355,4879700
